CodObr,NumPar,CodPar,RenPar,CanPar,PreUni,SubPar,HorHom,UniMat,UniEqu,UniMan,DiaCom,Puindi,PreSoc,AdmIni,Utilid,Financ,Divid1,DiaCo1,CapPar,RenDi2,fECiNI,Nota01,AplISV,Nota02,PorISV,STotMat,STotEqu,SSubMan,SPreSoc,STotB01,STotB02,StotB03,STotMan,SCosDir,SAdmini,SUtilid,SFinanc,SImpues,SHorHom,SDurDia,SCosHom,DiaIni,STotGas,STotPar,PreSoc2,STarCom,SSubMan2,SPreSoc2,CodGru
"144ZOIPA",11,"*OBREX33",1.0000000000000000e+01,4.0000000000000000e+01,1.6859999999999999e+02," ",2.0800000000000000e+02,9.7469999999999999e+01,2.6399999999999999e+01,1.5470000000000001e+01,0.0000000000000000e+00,0.0000000000000000e+00,4.0000000000000000e+02,1.0000000000000000e+01,1.0000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00," ",0.0000000000000000e+00,,,"N",,0.0000000000000000e+00,9.7469999999999999e+01,2.6394999999999999e+02,2.6380000000000003e+01,1.0552000000000000e+02,2.2750000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,1.5465000000000001e+02,1.3934000000000000e+02,1.3930000000000000e+01,1.5330000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,2.0800000000000000e+02,4.0000000000000000e+00,2.9750000000000005e+00,,0.0000000000000000e+00,6.7440000000000000e+03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,
"144ZOIPA",12,"*OBREX30",1.0000000000000000e+01,3.0000000000000000e+01,1.7156999999999999e+02," ",1.7400000000000000e+02,9.7469999999999999e+01,2.7800000000000001e+01,1.6520000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,4.0000000000000000e+02,1.0000000000000000e+01,1.0000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00," ",0.0000000000000000e+00,,,"N",,0.0000000000000000e+00,9.7469999999999999e+01,2.7801999999999998e+02,2.7969999999999999e+01,1.1188000000000000e+02,2.5375000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,1.6522000000000000e+02,1.4178999999999999e+02,1.4180000000000000e+01,1.5600000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,1.7400000000000000e+02,3.0000000000000000e+00,2.8482758620689652e+00,,0.0000000000000000e+00,5.1471000000000004e+03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,
"144ZOIPA",13,"OBREX30",1.5000000000000000e+02,1.0000000000000000e+03,4.1090000000000003e+01," ",1.7333333333333334e+02,3.3500000000000000e+01,1.0000000000000000e-02,4.4000000000000000e-01,0.0000000000000000e+00,0.0000000000000000e+00,4.0000000000000000e+02,1.0000000000000000e+01,1.0000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00," ",0.0000000000000000e+00,,,"N",,0.0000000000000000e+00,3.3500000000000000e+01,1.0100000000000000e+00,1.0930000000000000e+01,4.3719999999999999e+01,1.1375000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,6.6030000000000001e+01,3.3950000000000003e+01,3.3999999999999999e+00,3.7400000000000002e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.7333333333333334e+02,6.6666666666666670e+00,2.5384615384615383e+00,,0.0000000000000000e+00,4.1090000000000000e+04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,
"144ZOIPA",14,"LAI490",4.0000000000000000e+02,2.0000000000000000e+02,1.0300000000000000e+00," ",1.6000000000000000e+01,5.9999999999999998e-02,5.0000000000000000e-01,2.8999999999999998e-01,0.0000000000000000e+00,0.0000000000000000e+00,4.0000000000000000e+02,1.0000000000000000e+01,1.0000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00," ",0.0000000000000000e+00,,,"N",,0.0000000000000000e+00,5.9999999999999998e-02,2.0000000000000000e+02,2.0270000000000000e+01,8.1079999999999998e+01,1.4000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,1.1534999999999999e+02,8.4999999999999998e-01,8.9999999999999997e-02,8.9999999999999997e-02,0.0000000000000000e+00,0.0000000000000000e+00,1.6000000000000000e+01,5.0000000000000000e-01,3.6249999999999996e+00,,0.0000000000000000e+00,2.0600000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,
"144ZOIPA",15,"P0000164",6.0000000000000000e+01,1.6000000000000000e+02,9.3499999999999996e+00," ",1.9200000000000000e+02,0.0000000000000000e+00,4.2500000000000000e+00,3.4800000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.0000000000000000e+02,1.0000000000000000e+01,1.0000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00," ",0.0000000000000000e+00,,,"N",,0.0000000000000000e+00,0.0000000000000000e+00,2.5509999999999999e+02,3.5430000000000000e+01,1.4172000000000000e+02,3.1500000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,2.0865000000000001e+02,7.7300000000000004e+00,7.7000000000000002e-01,8.4999999999999998e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.9200000000000000e+02,2.6666666666666665e+00,2.8999999999999999e+00,,0.0000000000000000e+00,1.4960000000000000e+03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,
"144ZOIPA",16,"BOTE1",1.0000000000000000e+02,2.0800000000000000e+02,6.5599999999999996e+00," ",4.1600000000000001e+01,0.0000000000000000e+00,4.3700000000000001e+00,1.0500000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.0000000000000000e+02,1.0000000000000000e+01,1.0000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00," ",0.0000000000000000e+00,,,"N",,0.0000000000000000e+00,0.0000000000000000e+00,4.3668000000000001e+02,1.9180000000000000e+01,7.6719999999999999e+01,8.7500000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0465000000000001e+02,5.4199999999999999e+00,5.4000000000000004e-01,5.9999999999999998e-01,0.0000000000000000e+00,0.0000000000000000e+00,4.1600000000000001e+01,2.0800000000000001e+00,5.2500000000000000e+00,,0.0000000000000000e+00,1.3644800000000000e+03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,
"144ZOIPA",17,"LAI499",5.0000000000000000e+01,1.2000000000000000e+01,3.7490000000000002e+01," ",6.2400000000000002e+00,2.6250000000000000e+01,3.2500000000000000e+00,1.4800000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.0000000000000000e+02,1.0000000000000000e+01,1.0000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00," ",0.0000000000000000e+00,,,"N",,0.0000000000000000e+00,2.6250000000000000e+01,1.6228000000000000e+02,1.2490000000000000e+01,4.9960000000000001e+01,1.1375000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,7.3819999999999993e+01,3.0980000000000000e+01,3.1000000000000001e+00,3.4100000000000001e+00,0.0000000000000000e+00,0.0000000000000000e+00,6.2400000000000002e+00,2.3999999999999999e-01,2.8461538461538458e+00,,0.0000000000000000e+00,4.4988000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,
"144ZOIPA",18,"P0001661",3.0000000000000000e+01,6.5000000000000000e+01,2.9520000000000000e+01," ",9.5333333333333329e+01,1.3650000000000000e+01,6.5700000000000003e+00,4.1799999999999997e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.0000000000000000e+02,1.0000000000000000e+01,1.0000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00," ",0.0000000000000000e+00,,,"N",,0.0000000000000000e+00,1.3650000000000000e+01,1.9703000000000000e+02,2.1230000000000000e+01,8.4920000000000002e+01,1.9250000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,1.2540000000000001e+02,2.4399999999999999e+01,2.4399999999999999e+00,2.6800000000000002e+00,0.0000000000000000e+00,0.0000000000000000e+00,9.5333333333333329e+01,2.1666666666666665e+00,2.8500000000000001e+00,,0.0000000000000000e+00,1.9188000000000000e+03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,
"144ZOIPA",19,"P0002002",3.7500000000000000e+01,3.3380000000000003e+01,1.3659999999999998e+01," ",5.6968533333333340e+01,2.9999999999999999e-01,6.5199999999999996e+00,4.4699999999999998e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.0000000000000000e+02,1.0000000000000000e+01,1.0000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00," ",0.0000000000000000e+00,,,"N",,0.0000000000000000e+00,2.9999999999999999e-01,2.4431999999999999e+02,2.7899999999999999e+01,1.1159999999999999e+02,2.8000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,1.6750000000000000e+02,1.1289999999999999e+01,1.1299999999999999e+00,1.2400000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,5.6968533333333340e+01,8.9013333333333344e-01,2.6191406249999996e+00,,0.0000000000000000e+00,4.5597000000000003e+02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,
"144ZOIPA",20,"UP333",3.0000000000000000e+01,2.0000000000000000e+02,3.5710000000000001e+01," ",3.3333333333333337e+02,2.2100000000000001e+01,2.2900000000000000e+00,5.1200000000000001e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.0000000000000000e+02,1.0000000000000000e+01,1.0000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00," ",0.0000000000000000e+00,,,"N",,0.0000000000000000e+00,2.2100000000000001e+01,6.8570000000000007e+01,2.6320000000000000e+01,1.0528000000000000e+02,2.1875000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,1.5347999999999999e+02,2.9510000000000002e+01,2.9500000000000002e+00,3.2500000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.3333333333333337e+02,6.6666666666666670e+00,3.0719999999999996e+00,,0.0000000000000000e+00,7.1420000000000000e+03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,
"144ZOIPA",21,"LAI530",3.0000000000000000e+00,2.4000000000000000e+01,2.9576999999999998e+02," ",4.1600000000000000e+02,1.5568000000000001e+02,3.9060000000000002e+01,4.9700000000000003e+01,0.0000000000000000e+00,0.0000000000000000e+00,4.0000000000000000e+02,1.0000000000000000e+01,1.0000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00," ",0.0000000000000000e+00,,,"N",,0.0000000000000000e+00,1.5568000000000001e+02,1.1718000000000001e+02,2.5270000000000000e+01,1.0108000000000000e+02,2.2750000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,1.4909999999999999e+02,2.4444000000000000e+02,2.4440000000000001e+01,2.6890000000000001e+01,0.0000000000000000e+00,0.0000000000000000e+00,4.1600000000000000e+02,8.0000000000000000e+00,2.8673076923076928e+00,,0.0000000000000000e+00,7.0984799999999996e+03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,
"144ZOIPA",22,"P0004769",5.0000000000000000e+00,4.0000000000000000e+00,1.9022000000000000e+02," ",2.0800000000000001e+01,1.0005000000000000e+02,4.2500000000000000e+01,1.4660000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,4.0000000000000000e+02,1.0000000000000000e+01,1.0000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00," ",0.0000000000000000e+00,,,"N",,0.0000000000000000e+00,1.0005000000000000e+02,2.1250000000000000e+02,1.2379999999999999e+01,4.9520000000000003e+01,1.1375000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,7.3280000000000001e+01,1.5721000000000001e+02,1.5720000000000001e+01,1.7289999999999999e+01,0.0000000000000000e+00,0.0000000000000000e+00,2.0800000000000001e+01,8.0000000000000004e-01,2.8192307692307690e+00,,0.0000000000000000e+00,7.6088000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,
